"ID","PointName","System","Device","PointType","TimeInterval","Unit","Source","Correction"
1,"NVE_CVB_3_4nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_4 (B54)","AirFlowRate",1,"CFM","Sensor",""
2,"NVE_CVB_3_4nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_4 (B54)","DamperPos",1,"%","Control",""
3,"NVE_CVB_3_4nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_4 (B54)","EffectTempSetpoint",1,"Degrees F","Control",""
4,"NVE_CVB_3_4nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_4 (B54)","AirFlowRateSetpoint",1,"CFM","Control",""
5,"NVE_CVB_3_1nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_1","AirFlowRate",1,"CFM","Sensor",""
6,"NVE_CVB_3_1nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_1","DamperPos",1,"%","Control",""
7,"NVE_CVB_3_1nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_1","EffectTempSetpoint",1,"Degrees F","Control",""
8,"NVE_CVB_3_1nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_1","AirFlowRateSetpoint",1,"CFM","Control",""
10,"NVE_CVB_3_2nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_2","AirFlowRate",1,"CFM","Sensor",""
11,"NVE_CVB_3_4nvoSpaceTemp","Space","CVB_3_4 (B54)","SpaceTemp",1,"Degrees F","Sensor",""
12,"NVE_CVB_3_6nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_6 (B54)","AirFlowRate",1,"CFM","Sensor",""
13,"NVE_CVB_3_2nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_2","DamperPos",1,"%","Control",""
14,"NVE_CVB_3_2nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_2","EffectTempSetpoint",1,"Degrees F","Control",""
15,"NVE_CVB_3_2nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_2","AirFlowRateSetpoint",1,"CFM","Control",""
17,"NVE_CVB_3_5nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_5","AirFlowRate",1,"CFM","Sensor",""
18,"NVE_CVB_3_5nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_5","DamperPos",1,"%","Control",""
19,"NVE_CVB_3_5nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_5","EffectTempSetpoint",1,"Degrees F","Control",""
20,"NVE_CVB_3_5nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_5","AirFlowRateSetpoint",1,"CFM","Control",""
22,"NVE_CVB_3_7nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_7","AirFlowRate",1,"CFM","Sensor",""
23,"NVE_CVB_3_7nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_7","DamperPos",1,"%","Control",""
24,"NVE_CVB_3_7nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_7","EffectTempSetpoint",1,"Degrees F","Control",""
25,"NVE_CVB_3_7nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_7","AirFlowRateSetpoint",1,"CFM","Control",""
27,"NVE_CVB_3_8nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_8 (B62)","AirFlowRate",1,"CFM","Sensor",""
28,"NVE_CVB_3_8nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_8 (B62)","DamperPos",1,"%","Control",""
29,"NVE_CVB_3_8nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_8 (B62)","EffectTempSetpoint",1,"Degrees F","Control",""
30,"NVE_CVB_3_8nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_8 (B62)","AirFlowRateSetpoint",1,"CFM","Control",""
31,"NVE_CVB_3_8nvoSpaceTemp","Space","CVB_3_8 (B62)","SpaceTemp",1,"Degrees F","Sensor",""
32,"NVE_CVB_3_9nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_9 (B64)","AirFlowRate",1,"CFM","Sensor",""
33,"NVE_CVB_3_9nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_9 (B64)","DamperPos",1,"%","Control",""
34,"NVE_CVB_3_9nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_9 (B64)","EffectTempSetpoint",1,"Degrees F","Control",""
35,"NVE_CVB_3_9nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_9 (B64)","AirFlowRateSetpoint",1,"CFM","Control",""
36,"NVE_CVB_3_9nvoSpaceTemp","Space","CVB_3_9 (B64)","SpaceTemp",1,"Degrees F","Sensor",""
37,"NVE_CVB_3_11nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_11","AirFlowRate",1,"CFM","Sensor",""
38,"NVE_CVB_3_11nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_11","DamperPos",1,"%","Control",""
39,"NVE_CVB_3_11nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_11","EffectTempSetpoint",1,"Degrees F","Control",""
40,"NVE_CVB_3_11nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_11","AirFlowRateSetpoint",1,"CFM","Control",""
42,"NVE_CVB_3_12nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_12 (B63)	","AirFlowRate",1,"CFM","Sensor",""
43,"NVE_CVB_3_12nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_12 (B63)	","DamperPos",1,"%","Control",""
44,"NVE_CVB_3_12nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_12 (B63)	","EffectTempSetpoint",1,"Degrees F","Control",""
45,"NVE_CVB_3_12nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_12 (B63)	","AirFlowRateSetpoint",1,"CFM","Control",""
46,"NVE_CVB_3_12nvoSpaceTemp","Space","CVB_3_12 (B63)	","SpaceTemp",1,"Degrees F","Sensor",""
47,"NVE_CVB_3_13nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_13 (B61)","AirFlowRate",1,"CFM","Sensor",""
48,"NVE_CVB_3_13nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_13 (B61)","DamperPos",1,"%","Control",""
49,"NVE_CVB_3_13nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_13 (B61)","EffectTempSetpoint",1,"Degrees F","Control",""
50,"NVE_CVB_3_6nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_6 (B54)","DamperPos",1,"%","Control",""
51,"NVE_CVB_3_6nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_6 (B54)","EffectTempSetpoint",1,"Degrees F","Control",""
52,"NVE_CVB_3_6nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_6 (B54)","AirFlowRateSetpoint",1,"CFM","Control",""
53,"NVE_CVB_3_6nvoSpaceTemp","Space","CVB_3_6 (B54)","SpaceTemp",1,"Degrees F","Sensor",""
54,"NVE_CVB_3_13nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_13 (B61)","AirFlowRateSetpoint",1,"CFM","Control",""
55,"NVE_CVB_3_13nvoSpaceTemp","Space","CVB_3_13 (B61)","SpaceTemp",1,"Degrees F","Sensor",""
56,"NVE_CVB_3_15nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_15 (B61B)","AirFlowRate",1,"CFM","Sensor",""
57,"NVE_CVB_3_15nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_15 (B61B)","DamperPos",1,"%","Control",""
58,"NVE_CVB_3_15nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_15 (B61B)","EffectTempSetpoint",1,"Degrees F","Control",""
59,"NVE_CVB_3_15nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_15 (B61B)","AirFlowRateSetpoint",1,"CFM","Control",""
60,"NVE_CVB_3_15nvoSpaceTemp","Space","CVB_3_15 (B61B)","SpaceTemp",1,"Degrees F","Sensor",""
61,"NVE_CVB_3_19nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_19 (B51)","AirFlowRate",1,"CFM","Sensor",""
62,"NVE_CVB_3_19nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_19 (B51)","DamperPos",1,"%","Control",""
63,"NVE_CVB_3_19nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_19 (B51)","EffectTempSetpoint",1,"Degrees F","Control",""
64,"NVE_CVB_3_19nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_19 (B51)","AirFlowRateSetpoint",1,"CFM","Control",""
65,"NVE_CVB_3_19nvoSpaceTemp","Space","CVB_3_19 (B51)","SpaceTemp",1,"Degrees F","Sensor",""
66,"NVE_CVB_3_20nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_20","AirFlowRate",1,"CFM","Sensor",""
67,"NVE_CVB_3_20nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_20","DamperPos",1,"%","Control",""
68,"NVE_CVB_3_20nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_20","EffectTempSetpoint",1,"Degrees F","Control",""
69,"NVE_CVB_3_20nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_20","AirFlowRateSetpoint",1,"CFM","Control",""
71,"NVE_CVB_3_25nvoAirFlow","Constant Volume Thermal Boxes","CVB_3_25","AirFlowRate",1,"CFM","Sensor",""
72,"NVE_CVB_3_25nvoDamperPos","Constant Volume Thermal Boxes","CVB_3_25","DamperPos",1,"%","Control",""
73,"NVE_CVB_3_25nvoEffectSetpt","Constant Volume Thermal Boxes","CVB_3_25","EffectTempSetpoint",1,"Degrees F","Control",""
74,"NVE_CVB_3_25nvoFlowSetpoint","Constant Volume Thermal Boxes","CVB_3_25","AirFlowRateSetpoint",1,"CFM","Control",""
76,"NVE_VAVB_3_3nvoAirFlow","Variable Air Volume Boxes","VAVB_3_3 (B40)","AirFlowRate",1,"CFM","Sensor",""
77,"NVE_VAVB_3_3nvoDamperPos","Variable Air Volume Boxes","VAVB_3_3 (B40)","DamperPos",1,"%","Control",""
78,"NVE_VAVB_3_3nvoEffectSetpt","Variable Air Volume Boxes","VAVB_3_3 (B40)","EffectTempSetpoint",1,"Degrees F","Control",""
79,"NVE_VAVB_3_3nvoFlowSetpoint","Variable Air Volume Boxes","VAVB_3_3 (B40)","AirFlowRateSetpoint",1,"CFM","Control",""
80,"NVE_VAVB_3_3nvoSpaceTemp","Space","VAVB_3_3 (B40)","SpaceTemp",1,"Degrees F","Sensor",""
81,"NVE_VAVB_3_10nvoAirFlow","Variable Air Volume Boxes","VAVB_3_10 (B52)","AirFlowRate",1,"CFM","Sensor",""
82,"NVE_VAVB_3_10nvoDamperPos","Variable Air Volume Boxes","VAVB_3_10 (B52)","DamperPos",1,"%","Control",""
83,"NVE_VAVB_3_10nvoEffectSetpt","Variable Air Volume Boxes","VAVB_3_10 (B52)","EffectTempSetpoint",1,"Degrees F","Control",""
84,"NVE_VAVB_3_10nvoFlowSetpoint","Variable Air Volume Boxes","VAVB_3_10 (B52)","AirFlowRateSetpoint",1,"CFM","Control",""
85,"NVE_VAVB_3_10nvoSpaceTemp","Space","VAVB_3_10 (B52)","SpaceTemp",1,"Degrees F","Sensor",""
86,"NVE_VAVB_3_14nvoAirFlow","Variable Air Volume Boxes","VAVB_3_14 (B59)","AirFlowRate",1,"CFM","Sensor",""
87,"NVE_VAVB_3_14nvoDamperPos","Variable Air Volume Boxes","VAVB_3_14 (B59)","DamperPos",1,"%","Control",""
88,"NVE_VAVB_3_14nvoEffectSetpt","Variable Air Volume Boxes","VAVB_3_14 (B59)","EffectTempSetpoint",1,"Degrees F","Control",""
89,"NVE_VAVB_3_14nvoFlowSetpoint","Variable Air Volume Boxes","VAVB_3_14 (B59)","AirFlowRateSetpoint",1,"CFM","Control",""
